time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2013-05-15,0.0093,16.4003,0,287.7195,0.0216,0.0048,0.0721,24.0017,216.0156,24.0017,0.2996,2.6963,0.5992,7.00E-04,0.0067,0.9674,98.4421,1.8747,126.3866
2013-05-16,0.0087,18.3691,0,276.1702,0.0211,0.0049,0.0725,23.9969,215.9718,23.9969,0.2994,2.6946,0.5988,0.0044,0.0394,2.1843,98.4608,2.0071,126.3866
2013-05-17,0.0098,18.4792,0,275.549,0.0206,0.005,0.0729,23.992,215.928,23.992,0.2992,2.6928,0.5984,0.004,0.0363,2.0742,98.4795,2.1396,126.3866
2013-05-18,0.0147,18.5892,0,274.9303,0.0201,0.0051,0.0734,23.9871,215.8842,23.9871,0.299,2.6911,0.598,0.0037,0.0332,1.9642,98.4981,2.2738,126.3866
2013-05-19,0.0205,18.6993,0,274.3141,0.0196,0.0053,0.0738,23.9823,215.8404,23.9823,0.2988,2.6894,0.5976,0.0033,0.0301,1.8541,98.5168,2.416,126.3866
2013-05-20,0.0276,18.8093,0,273.7004,0.0191,0.0054,0.0742,23.9774,215.7965,23.9774,0.2986,2.6877,0.5973,0.003,0.0271,1.744,98.5354,2.5582,126.3866
2013-05-21,0.0174,18.9194,0,273.0891,0.0185,0.0055,0.0746,23.9725,215.7527,23.9725,0.2984,2.686,0.5969,0.0027,0.024,1.634,98.5541,2.7004,126.3866
2013-05-22,0.019,19.9817,0,267.3122,0.018,0.0056,0.075,23.9677,215.7089,23.9677,0.2983,2.6843,0.5965,0.0023,0.0209,1.5239,98.5728,2.8427,126.3866
2013-05-23,0.0197,21.0439,0,261.7492,0.0175,0.0058,0.0755,23.9628,215.6651,23.9628,0.2981,2.6825,0.5961,0.002,0.0178,1.4139,98.5914,2.9669,126.3866
2013-05-24,0.0118,21.1968,0,260.9656,0.017,0.0059,0.0759,23.9579,215.6213,23.9579,0.2979,2.6808,0.5957,0.002,0.0184,1.4401,98.6101,3.0912,126.3866
2013-05-25,0.0094,21.3496,0,260.1862,0.0165,0.006,0.0763,23.953,215.5774,23.953,0.2977,2.6791,0.5954,0.0021,0.019,1.4664,98.6287,3.2728,126.3866
2013-05-26,0.0086,21.5025,0,259.4108,0.016,0.0061,0.0767,23.9482,215.5336,23.9482,0.2975,2.6774,0.595,0.0022,0.0196,1.4927,98.6474,3.4245,126.3866
2013-05-27,0.0082,21.6553,0,258.6396,0.0155,0.0062,0.0771,23.9433,215.4898,23.9433,0.2973,2.6757,0.5946,0.0022,0.0202,1.5189,98.666,3.5762,126.3866
2013-05-28,0.0081,21.8082,0,257.8723,0.015,0.0064,0.0775,23.9384,215.446,23.9384,0.2971,2.6739,0.5942,0.0023,0.0208,1.5452,98.6847,3.7279,126.3866
2013-05-29,0.0081,21.961,0,257.1091,0.0145,0.0065,0.078,23.9336,215.4022,23.9336,0.2969,2.6722,0.5938,0.0024,0.0214,1.5714,98.7034,3.8796,126.3866
2013-05-30,0.0076,22.1139,0,256.3499,0.014,0.0066,0.0784,23.9287,215.3583,23.9287,0.2967,2.6705,0.5934,0.0024,0.022,1.5977,98.722,4.1704,126.3866
2013-05-31,0.0083,22.4279,0,254.8029,0.0135,0.0067,0.0788,23.9238,215.3145,23.9238,0.2965,2.6688,0.5931,0.0024,0.0217,1.5933,98.7407,4.4613,126.3866
2013-06-01,0.008,22.7418,0,253.2722,0.013,0.0068,0.0792,23.919,215.2707,23.919,0.2963,2.6671,0.5927,0.0024,0.0215,1.589,98.7593,6.3063,126.3866
2013-06-02,0.0149,23.0558,0,251.7576,0.0125,0.007,0.0796,23.9141,215.2269,23.9141,0.2962,2.6654,0.5923,0.0024,0.0213,1.5846,98.778,6.2941,126.3866
2013-06-03,0.0138,23.3697,0,250.2589,0.012,0.0071,0.0801,23.9092,215.1831,23.9092,0.296,2.6636,0.5919,0.0023,0.021,1.5802,98.7966,6.2819,126.3866
2013-06-04,0.0079,23.6837,0,248.7757,0.0115,0.0072,0.0805,23.9044,215.1392,23.9044,0.2958,2.6619,0.5915,0.0023,0.0208,1.5758,98.8153,6.2697,126.3866
2013-06-05,0.0072,22.821,0,252.8887,0.011,0.0073,0.0809,23.8995,215.0954,23.8995,0.2956,2.6602,0.5912,0.0023,0.0206,1.5714,98.834,6.2575,126.3866
2013-06-06,0.0461,21.9583,0,257.1228,0.0105,0.0075,0.0813,23.8946,215.0516,23.8946,0.2954,2.6585,0.5908,0.0023,0.0204,1.5671,98.8526,5.9888,126.3866
2013-06-07,0.0414,22.195,0,255.9485,0.01,0.0076,0.0817,23.8898,215.0078,23.8898,0.2952,2.6568,0.5904,0.0022,0.0201,1.5627,98.8713,5.7201,126.3866
2013-06-08,0.0228,22.4318,0,254.7836,0.0095,0.0077,0.0822,23.8849,214.964,23.8849,0.295,2.655,0.59,0.0022,0.0199,1.5583,98.8899,5.6957,126.3866
2013-06-09,0.0171,22.6685,0,253.6281,0.009,0.0078,0.0826,23.88,214.9201,23.88,0.2948,2.6533,0.5896,0.0022,0.0197,1.5539,98.9086,5.656,126.3866
2013-06-10,0.0187,22.9053,0,252.4817,0.0085,0.0079,0.083,23.8751,214.8763,23.8751,0.2946,2.6516,0.5892,0.0022,0.0194,1.5496,98.9273,5.6164,126.3866
2013-06-11,0.0193,23.142,0,251.3444,0.008,0.0081,0.0834,23.8703,214.8325,23.8703,0.2944,2.6499,0.5889,0.0021,0.0192,1.5452,98.9459,5.7318,126.3866
