attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
time		Date		!Add datetime specifier here!		
FLOW		numeric	!Add units here!			
TEMP		numeric	!Add units here!			
SALT		numeric	!Add units here!			
OXY_oxy		numeric	!Add units here!			
NIT_amm		numeric	!Add units here!			
NIT_nit		numeric	!Add units here!			
PHS_frp		numeric	!Add units here!			
OGM_doc		numeric	!Add units here!			
OGM_docr		numeric	!Add units here!			
OGM_poc		numeric	!Add units here!			
OGM_don		numeric	!Add units here!			
OGM_donr		numeric	!Add units here!			
OGM_pon		numeric	!Add units here!			
OGM_dop		numeric	!Add units here!			
OGM_dopr		numeric	!Add units here!			
OGM_pop		numeric	!Add units here!			
CAR_dic		numeric	!Add units here!			
CAR_ch4		numeric	!Add units here!			
SIL_rsi		numeric	!Add units here!			
