Parameter,Temp,Oxy,NIT_amm,NIT_nit,SRP,DOC,TN,TP
n_all,103,110,68,68,67,68,71,71
MAE_all,1.39,68.94,15.79,0.45,0.05,41.26,20.52,0.43
RMSE_all,1.49,92.54,20.9,0.51,0.07,56.7,28.03,0.61
PBIAS%_all,3.9,-31.6,9.4,215.4,71,0.2,-21.6,-36.2
NSE_all,0.02,0.31,-0.19,-3.69,-2.97,0.14,-0.05,-0.66
R2_all,0.18,0.49,0.07,0.15,0.03,0.17,0.11,0
n_cal,87,94,54,54,53,54,55,55
MAE_cal,1.37,74.2,16.67,0.38,0.05,31.91,20.22,0.35
RMSE_cal,1.48,97.97,21.83,0.43,0.07,43.66,26.58,0.53
PBIAS%_cal,2.4,-34.7,16.5,152.7,62.7,-5.3,-20.3,-21.9
NSE_cal,0.1,0.2,-0.78,-1.86,-2.39,0.37,-0.53,-0.47
R2_cal,0.18,0.49,0,0.31,0.05,0.41,0,0.01
n_val,16,16,14,14,14,14,16,16
MAE_val,1.49,38.06,12.41,0.7,0.07,77.33,21.57,0.7
RMSE_val,1.56,49.87,16.86,0.75,0.08,90.9,32.53,0.83
PBIAS%_val,12.9,32.5,-3.5,1069,109.5,22.4,-24.1,-68.5
NSE_val,-5.86,0.15,0.39,-873.63,-7.87,-0.31,-0.05,-1.8
R2_val,0.79,0.32,0.44,0.08,0.04,0.08,0.23,0.41
