time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2013-05-15,0.0151,7.8473,0,597.51,2.3004,0.0968,0.0526,19.1507,172.3564,19.1507,1.1383,10.2449,2.2767,0.0158,0.1418,0.3677,87.594,0.1188,82.0653
2013-05-16,0.0151,7.9724,0,597.51,2.2959,0.1009,0.0529,19.1726,172.5533,19.1726,1.1371,10.2342,2.2743,0.0208,0.1871,0.4851,87.6085,0.1185,82.0653
2013-05-17,0.0151,8.1041,0,597.51,2.2914,0.105,0.0531,19.1945,172.7502,19.1945,1.1359,10.2234,2.2719,0.0202,0.1818,0.4714,87.623,0.1183,82.0653
2013-05-18,0.0151,8.2358,0,597.51,2.2869,0.1092,0.0534,19.2163,172.9471,19.2163,1.1347,10.2126,2.2695,0.0196,0.1765,0.4576,87.6375,0.1177,82.0653
2013-05-19,0.0151,8.3674,0,597.51,2.2824,0.1133,0.0536,19.2382,173.144,19.2382,1.1335,10.2019,2.2671,0.019,0.1712,0.4439,87.652,0.1179,82.0653
2013-05-20,0.0151,8.4991,0,597.51,2.2779,0.1174,0.0539,19.2601,173.341,19.2601,1.1323,10.1911,2.2647,0.0184,0.1659,0.4302,87.6665,0.118,82.0653
2013-05-21,0.0151,8.6308,0,597.51,2.2734,0.1215,0.0541,19.282,173.5379,19.282,1.1311,10.1803,2.2623,0.0178,0.1606,0.4164,87.681,0.1222,82.0653
2013-05-22,0.0151,8.6642,0,597.51,2.2689,0.1257,0.0544,19.3039,173.7348,19.3039,1.1299,10.1695,2.2599,0.0173,0.1553,0.4027,87.6955,0.1188,82.0653
2013-05-23,0.0151,8.6976,0,597.51,2.2643,0.1298,0.0546,19.3257,173.9317,19.3257,1.1288,10.1588,2.2575,0.0167,0.15,0.389,87.71,0.1121,82.0653
2013-05-24,0.0151,8.7684,0,597.51,2.2598,0.1339,0.0549,19.3476,174.1286,19.3476,1.1276,10.148,2.2551,0.0182,0.164,0.4253,87.7245,0.1054,82.0653
2013-05-25,0.0151,8.8392,0,597.51,2.2553,0.138,0.0551,19.3695,174.3255,19.3695,1.1264,10.1372,2.2527,0.0198,0.178,0.4616,87.739,0.1,82.0653
2013-05-26,0.0151,8.9101,0,597.51,2.2508,0.1422,0.0553,19.3914,174.5224,19.3914,1.1252,10.1265,2.2503,0.0213,0.1921,0.4979,87.7534,0.0958,82.0653
2013-05-27,0.0151,8.9809,0,597.51,2.2463,0.1463,0.0556,19.4133,174.7194,19.4133,1.124,10.1157,2.2479,0.0229,0.2061,0.5342,87.7679,0.0916,82.0653
2013-05-28,0.0151,9.0517,0,597.51,2.2418,0.1504,0.0558,19.4351,174.9163,19.4351,1.1228,10.1049,2.2455,0.0245,0.2201,0.5705,87.7824,0.0919,82.0653
2013-05-29,0.0151,9.1226,0,597.51,2.2373,0.1545,0.0561,19.457,175.1132,19.457,1.1216,10.0941,2.2431,0.026,0.2341,0.6069,87.7969,0.0979,82.0653
2013-05-30,0.0151,9.1934,0,597.51,2.2328,0.1587,0.0563,19.4789,175.3101,19.4789,1.1204,10.0834,2.2407,0.0276,0.2481,0.6432,87.8114,0.1056,82.0653
2013-05-31,0.0151,9.249,0,597.51,2.2283,0.1628,0.0566,19.5008,175.507,19.5008,1.1192,10.0726,2.2384,0.0283,0.2549,0.6608,87.8259,0.1134,82.0653
2013-06-01,0.0151,9.3046,0,597.51,2.2237,0.1669,0.0568,19.5227,175.7039,19.5227,1.118,10.0618,2.236,0.0291,0.2616,0.6783,87.8404,0.1235,82.0653
2013-06-02,0.0151,9.3602,0,597.51,2.2192,0.171,0.0571,19.5445,175.9009,19.5445,1.1168,10.0511,2.2336,0.0298,0.2684,0.6959,87.8549,0.1373,82.0653
2013-06-03,0.0151,9.4159,0,597.51,2.2147,0.1752,0.0573,19.5664,176.0978,19.5664,1.1156,10.0403,2.2312,0.0306,0.2752,0.7135,87.8694,0.1511,82.0653
2013-06-04,0.0151,9.4715,0,597.51,2.2102,0.1793,0.0575,19.5883,176.2947,19.5883,1.1144,10.0295,2.2288,0.0313,0.282,0.7311,87.8839,0.1421,82.0653
2013-06-05,0.0151,9.5294,0,597.51,2.2057,0.1834,0.0578,19.6102,176.4916,19.6102,1.1132,10.0187,2.2264,0.0321,0.2888,0.7487,87.8984,0.1335,82.0653
2013-06-06,0.0151,9.5872,0,597.51,2.2012,0.1875,0.058,19.6321,176.6885,19.6321,1.112,10.008,2.224,0.0328,0.2956,0.7663,87.9129,0.125,82.0653
2013-06-07,0.0151,9.6278,0,597.51,2.1967,0.1917,0.0583,19.6539,176.8854,19.6539,1.1108,9.9972,2.2216,0.0304,0.2738,0.7099,87.9274,0.1165,82.0653
2013-06-08,0.0151,9.6685,0,597.51,2.1922,0.1958,0.0585,19.6758,177.0824,19.6758,1.1096,9.9864,2.2192,0.028,0.2521,0.6536,87.9419,0.1099,82.0653
2013-06-09,0.0151,9.7091,0,597.51,2.1876,0.1999,0.0588,19.6977,177.2793,19.6977,1.1084,9.9757,2.2168,0.0256,0.2304,0.5972,87.9564,0.0968,82.0653
2013-06-10,0.0151,9.7497,0,597.51,2.1831,0.2041,0.059,19.7196,177.4762,19.7196,1.1072,9.9649,2.2144,0.0232,0.2086,0.5409,87.9709,0.0837,82.0653
2013-06-11,0.0151,9.7903,0,597.51,2.1786,0.2082,0.0593,19.7415,177.6731,19.7415,1.106,9.9541,2.212,0.0208,0.1869,0.4845,87.9853,0.0862,82.0653
2013-06-12,0.0151,9.8309,0,597.51,2.1741,0.2123,0.0595,19.7633,177.87,19.7633,1.1048,9.9433,2.2096,0.0183,0.1651,0.4282,87.9998,0.0893,82.0653
2013-06-13,0.0151,9.8716,0,597.51,2.1696,0.2164,0.0597,19.7852,178.0669,19.7852,1.1036,9.9326,2.2072,0.0159,0.1434,0.3718,88.0143,0.0932,82.0653
2013-06-14,0,9.899,0,0,2.1651,0.2206,0.06,19.8071,178.2639,19.8071,1.1024,9.9218,2.2048,0.0187,0.1683,0.4362,88.0288,0.0971,82.0653
2013-06-15,0,9.9265,0,0,2.1606,0.2247,0.0602,19.829,178.4608,19.829,1.1012,9.911,2.2024,0.0215,0.1931,0.5006,88.0433,0.104,82.0653
2013-06-16,0,9.954,0,0,2.1561,0.2288,0.0605,19.8509,178.6577,19.8509,1.1,9.9003,2.2001,0.0242,0.2179,0.565,88.0578,0.1176,82.0653
2013-06-17,0.0151,9.9814,0,597.51,2.1515,0.2329,0.0607,19.8727,178.8546,19.8727,1.0988,9.8895,2.1977,0.027,0.2428,0.6294,88.0723,0.1313,82.0653
2013-06-18,0.0151,10.0089,0,597.51,2.147,0.2371,0.061,19.8946,179.0515,19.8946,1.0976,9.8787,2.1953,0.0297,0.2676,0.6938,88.0868,0.1373,82.0653
2013-06-19,0.0151,10.0364,0,597.51,2.1425,0.2412,0.0612,19.9165,179.2484,19.9165,1.0964,9.8679,2.1929,0.0325,0.2925,0.7582,88.1013,0.1474,82.0653
2013-06-20,0.0151,10.0639,0,597.51,2.138,0.2453,0.0615,19.9384,179.4454,19.9384,1.0952,9.8572,2.1905,0.0353,0.3173,0.8227,88.1158,0.1574,82.0653
2013-06-21,0,10.0637,0,0,2.1335,0.2494,0.0617,19.9603,179.6423,19.9603,1.094,9.8464,2.1881,0.0399,0.3587,0.93,88.1303,0.1702,82.0653
2013-06-22,0,10.0635,0,0,2.129,0.2536,0.062,19.9821,179.8392,19.9821,1.0928,9.8356,2.1857,0.0445,0.4001,1.0374,88.1448,0.1812,82.0653
2013-06-23,0,10.0634,0,0,2.1245,0.2577,0.0622,20.004,180.0361,20.004,1.0917,9.8249,2.1833,0.0491,0.4415,1.1447,88.1593,0.1827,82.0653
2013-06-24,0,10.0632,0,0,2.12,0.2618,0.0624,20.0259,180.233,20.0259,1.0905,9.8141,2.1809,0.0537,0.4829,1.2521,88.1738,0.1843,82.0653
2013-06-25,0,10.063,0,0,2.1155,0.2659,0.0627,20.0478,180.4299,20.0478,1.0893,9.8033,2.1785,0.0583,0.5243,1.3594,88.1883,0.1866,82.0653
2013-06-26,0,10.0517,0,0,2.1109,0.2701,0.0629,20.0696,180.6268,20.0696,1.0881,9.7925,2.1761,0.0629,0.5658,1.4668,88.2027,0.1836,82.0653
2013-06-27,0,10.0405,0,0,2.1064,0.2742,0.0632,20.0915,180.8238,20.0915,1.0869,9.7818,2.1737,0.0675,0.6072,1.5741,88.2172,0.1755,82.0653
2013-06-28,0,10.0383,0,0,2.1434,0.2715,0.0562,20.1134,181.0207,20.1134,1.0828,9.745,2.1656,0.0618,0.5563,1.4423,88.2317,0.1675,82.0653
