time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,CAR_dic,CAR_ch4,SIL_rsi
2013-05-15,0.0093,16.4003,0,287.7195,0.2156,0.7158,0.0222,24.0017,216.0156,24.0017,11.7051,2.341,0.6187,1.4436,0.0222,98.4421,1.8747,126.3866
2013-05-16,0.0087,18.3691,0,276.1702,0.2106,0.7437,0.0224,23.9855,215.8695,23.9855,11.6767,2.3353,1.4053,3.279,0.0224,98.4608,2.0071,126.3866
2013-05-17,0.0098,18.4792,0,275.549,0.2055,0.7716,0.0227,23.9693,215.7233,23.9693,11.6483,2.3297,1.334,3.1128,0.0227,98.4795,2.1396,126.3866
2013-05-18,0.0147,18.5892,0,274.9303,0.2005,0.7995,0.0229,23.953,215.5771,23.953,11.62,2.324,1.2628,2.9466,0.0229,98.4981,2.2738,126.3866
2013-05-19,0.0205,18.6993,0,274.3141,0.1955,0.8274,0.0232,23.9368,215.4309,23.9368,11.5916,2.3183,1.1916,2.7804,0.0232,98.5168,2.416,126.3866
2013-05-20,0.0276,18.8093,0,273.7004,0.1905,0.8553,0.0235,23.9205,215.2847,23.9205,11.5632,2.3126,1.1204,2.6142,0.0235,98.5354,2.5582,126.3866
2013-05-21,0.0174,18.9194,0,273.0891,0.1855,0.8832,0.0237,23.9043,215.1385,23.9043,11.5349,2.307,1.0492,2.448,0.0237,98.5541,2.7004,126.3866
2013-05-22,0.019,19.9817,0,267.3122,0.1805,0.9111,0.024,23.888,214.9923,23.888,11.5065,2.3013,0.9779,2.2818,0.024,98.5728,2.8427,126.3866
2013-05-23,0.0197,21.0439,0,261.7492,0.1755,0.939,0.0242,23.8718,214.8461,23.8718,11.4781,2.2956,0.9067,2.1157,0.0242,98.5914,2.9669,126.3866
2013-05-24,0.0118,21.1968,0,260.9656,0.1705,0.9669,0.0245,23.8556,214.7,23.8556,11.4498,2.29,0.9236,2.1551,0.0245,98.6101,3.0912,126.3866
2013-05-25,0.0094,21.3496,0,260.1862,0.1654,0.9948,0.0247,23.8393,214.5538,23.8393,11.4214,2.2843,0.9405,2.1945,0.0247,98.6287,3.2728,126.3866
2013-05-26,0.0086,21.5025,0,259.4108,0.1604,1.0227,0.025,23.8231,214.4076,23.8231,11.393,2.2786,0.9574,2.234,0.025,98.6474,3.4245,126.3866
