time,FLOW
2013-05-15,0.0284
2013-05-16,0.0266
2013-05-17,0.025
2013-05-18,0.0302
2013-05-19,0.0428
2013-05-20,0.0684
2013-05-21,0.0469
2013-05-22,0.0362
2013-05-23,0.035
2013-05-24,0.033
2013-05-25,0.0288
2013-05-26,0.0265
2013-05-27,0.025
2013-05-28,0.025
2013-05-29,0.0249
2013-05-30,0.0234
2013-05-31,0.0254
2013-06-01,0.0242
2013-06-02,0.0311
2013-06-03,0.0275
2013-06-04,0.0236
2013-06-05,0.0218
2013-06-06,0.1025
2013-06-07,0.0815
2013-06-08,0.059
2013-06-09,0.0435
2013-06-10,0.0471
2013-06-11,0.0508
2013-06-12,0.0414
2013-06-13,0.0389
2013-06-14,0.0323
2013-06-15,0.0282
2013-06-16,0.0268
2013-06-17,0.0268
2013-06-18,0.0311
2013-06-19,0.0266
2013-06-20,0.0243
2013-06-21,0.0227
2013-06-22,0.0222
2013-06-23,0.0217
2013-06-24,0.0208
2013-06-25,0.0204
2013-06-26,0.0275
2013-06-27,0.0226
2013-06-28,0.0211
2013-06-29,0.0201
2013-06-30,0.0201
2013-07-01,0.0194
2013-07-02,0.0723
2013-07-03,0.1449
2013-07-04,0.1682
2013-07-05,0.1037
2013-07-06,0.0661
2013-07-07,0.0536
2013-07-08,0.0467
2013-07-09,0.0394
2013-07-10,0.1355
2013-07-11,0.1329
2013-07-12,0.1048
2013-07-13,0.0776
2013-07-14,0.0751
2013-07-15,0.0618
2013-07-16,0.0522
2013-07-17,0.0469
2013-07-18,0.0444
2013-07-19,0.0416
2013-07-20,0.0394
2013-07-21,0.0391
2013-07-22,0.0371
2013-07-23,0.0353
2013-07-24,0.0329
2013-07-25,0.0304
2013-07-26,0.029
2013-07-27,0.0316
2013-07-28,0.0302
2013-07-29,0.027
2013-07-30,0.025
2013-07-31,0.0247
2013-08-01,0.0265
2013-08-02,0.024
2013-08-03,0.0227
2013-08-04,0.022
2013-08-05,0.0199
2013-08-06,0.0217
2013-08-07,0.0218
2013-08-08,0.0382
2013-08-09,0.0298
2013-08-10,0.0236
2013-08-11,0.0263
2013-08-12,0.0247
2013-08-13,0.0234
2013-08-14,0.0206
2013-08-15,0.0181
2013-08-16,0.0179
2013-08-17,0.0185
2013-08-18,0.0353
2013-08-19,0.0252
2013-08-20,0.0217
2013-08-21,0.0199
2013-08-22,0.0199
2013-08-23,0.0181
2013-08-24,0.0172
2013-08-25,0.0156
2013-08-26,0.0153
2013-08-27,0.016
2013-08-28,0.0169
2013-08-29,0.0162
2013-08-30,0.0146
2013-08-31,0.0158
2013-09-01,0.0155
2013-09-02,0.0146
2013-09-03,0.0139
2013-09-04,0.0123
2013-09-05,0.0123
2013-09-06,0.011
2013-09-07,0.011
2013-09-08,0.0117
2013-09-09,0.0112
2013-09-10,0.0224
2013-09-11,0.0423
2013-09-12,0.0393
2013-09-13,0.0375
2013-09-14,0.0368
2013-09-15,0.0361
2013-09-16,0.0369
2013-09-17,0.0359
2013-09-18,0.0352
2013-09-19,0.035
2013-09-20,0.0382
2013-09-21,0.0437
2013-09-22,0.0403
2013-09-23,0.0368
2013-09-24,0.0355
2013-09-25,0.0353
2013-09-26,0.0357
2013-09-27,0.0353
2013-09-28,0.0337
2013-09-29,0.0343
2013-09-30,0.0329
2013-10-01,0.0329
2013-10-02,0.0329
2013-10-03,0.032
2013-10-04,0.0318
2013-10-05,0.032
2013-10-06,0.0304
2013-10-07,0.052
2013-10-08,0.0352
2013-10-09,0.0327
2013-10-10,0.0371
2013-10-11,0.0348
2013-10-12,0.0341
2013-10-13,0.0327
2013-10-14,0.0337
2013-10-15,0.0316
2013-10-16,0.0309
2013-10-17,0.0311
2013-10-18,0.0314
2013-10-19,0.0295
2013-10-20,0.0305
2013-10-21,0.0293
2013-10-22,0.0291
2013-10-23,0.032
2013-10-24,0.0313
2013-10-25,0.032
2013-10-26,0.0302
2013-10-27,0.0305
