"DateTime","Depth","Observed_OXY_oxy","Modeled_OXY_oxy"
2013-05-21,0.1,285.116875,303.09293041628
2013-05-21,1,277.6278125,303.445305260252
2013-05-21,2,272.0940625,320.071199478838
2013-05-21,3,250.6659375,309.478760603921
2013-05-21,4,245.490625,299.146879165858
2013-05-21,5,273.1425,300.18554845552
2013-05-21,6,281.8615625,300.192590639984
2013-05-21,7,280.00375,300.122317157065
2013-05-21,8,281.7121875,299.955825159755
2013-05-21,9,276.233125,300.049566600914
2013-05-21,9.2,277.2584375,300.049566600914
2013-05-23,0.1,277.14125,286.263861134042
2013-05-23,1,285.5065625,286.853976486379
2013-05-23,2,271.30875,301.545611158476
2013-05-23,3,245.393125,303.647368800562
2013-05-23,4,226.8540625,297.573294414323
2013-05-23,5,290.8721875,299.275114061631
2013-05-23,6,289.1778125,299.282471108358
2013-05-23,7,287.194375,299.209842644723
2013-05-23,8,287.1496875,299.037604373128
2013-05-23,9,289.038125,299.134574192211
2013-05-23,9.2,288.7565625,299.134574192211
2013-05-30,0.1,269.9453125,296.310921121986
2013-05-30,1,302.31625,296.455874397149
2013-05-30,2,326.6665625,295.956226079905
2013-05-30,3,276.649375,290.757405981839
2013-05-30,4,237.4715625,285.768307426635
2013-05-30,5,329.433125,291.521415794506
2013-05-30,6,331.16,312.052567774158
2013-05-30,7,329.669375,311.973329812944
2013-05-30,8,329.71375,311.790593896889
2013-05-30,9,318.97375,311.893907280722
2013-05-30,9.2,307.3715625,311.893907280722
2013-06-04,0.1,262.6521875,271.46163312993
2013-06-04,1,264.1165625,271.427149770384
2013-06-04,2,339.53,271.317861635669
2013-06-04,3,279.046875,271.383780294921
2013-06-04,4,253.9165625,273.972616288621
2013-06-04,5,348.1484375,283.473274997543
2013-06-04,6,351.846875,320.065066300962
2013-06-04,7,352.4346875,319.984280592806
2013-06-04,8,347.7359375,319.790573698382
2013-06-04,9,345.534375,319.899829786755
2013-06-04,9.2,342.300625,319.899829786755
2013-06-06,0.1,207.54875,269.177674538161
2013-06-06,1,262.829375,268.655323760748
2013-06-06,2,338.540625,268.2832465316
2013-06-06,3,264.976875,267.143195725555
2013-06-06,4,283.1890625,268.762460045364
2013-06-06,5,363.4459375,279.245160566301
2013-06-06,6,364.399375,322.924259680355
2013-06-06,7,363.873125,322.844367733683
2013-06-06,8,363.4875,322.6443689766
2013-06-06,9,361.53125,322.756888938889
2013-06-06,9.2,355.5090625,322.756888938889
2013-06-13,0.1,280.2028125,268.629841716311
2013-06-13,1,322.39375,268.636631963538
2013-06-13,2,313.4378125,268.682392574163
2013-06-13,3,257.846875,260.609116383123
2013-06-13,4,266.5840625,249.105368385375
2013-06-13,5,382.9490625,266.604402036114
2013-06-13,6,385.625,331.365413318626
2013-06-13,7,384.6440625,331.281315149752
2013-06-13,8,379.85375,331.074373429869
2013-06-13,9,376.6003125,331.190915552884
2013-06-13,9.2,376.6003125,331.190915552884
2013-06-20,0.1,233.1053125,265.121888372949
2013-06-20,1,305.2046875,265.553169004741
2013-06-20,2,313.8434375,265.50671492056
2013-06-20,3,256.04125,250.521094902627
2013-06-20,4,240.8584375,227.754598605957
2013-06-20,5,358.398125,245.444689730882
2013-06-20,6,365.0265625,315.656719246523
2013-06-20,7,363.515,315.569795263756
2013-06-20,8,358.0253125,315.355739664291
2013-06-20,9,343.4028125,315.476282742751
2013-06-20,9.2,343.4028125,315.476282742751
2013-06-25,0.1,284.708125,260.411947753727
2013-06-25,1,374.9296875,261.188645375765
2013-06-25,2,384.8834375,261.294220887083
2013-06-25,3,289.7490625,240.318061090607
2013-06-25,4,231.3109375,210.745785739932
2013-06-25,5,352.0109375,226.261635885562
2013-06-25,6,355.78,294.081070324879
2013-06-25,7,342.8478125,293.990921405648
2013-06-25,8,311.5971875,293.774825599314
2013-06-25,9,257.620625,293.896711675859
2013-06-25,9.2,208.5090625,293.896711675859
2013-06-27,0.1,286.44125,259.843620758503
2013-06-27,1,362.735625,259.806959285732
2013-06-27,2,387.035,258.567446378352
2013-06-27,3,233.1625,235.472683222264
2013-06-27,4,250.1028125,203.338406822381
2013-06-27,5,349.056875,216.48882688075
2013-06-27,6,348.604375,280.810216416342
2013-06-27,7,329.0928125,280.719789184771
2013-06-27,8,282.04625,280.501327405068
2013-06-27,9,188.786875,280.624490583868
2013-06-27,9.2,200.5025,280.624490583868
2013-07-03,0.1,251.1203125,258.242259256182
2013-07-03,1,302.021875,259.463660560956
2013-07-03,2,258.3225,260.642267795704
2013-07-03,3,318.923125,232.064512557167
2013-07-03,4,227.6265625,179.839275144483
2013-07-03,5,324.868125,185.133285458466
2013-07-03,6,339.31125,240.205733898395
2013-07-03,7,318.906875,240.117127457024
2013-07-03,8,263.1671875,239.887170469283
2013-07-03,9,169.3440625,240.016287017221
2013-07-03,9.2,148.4853125,240.016287017221
2013-07-11,0.1,194.721875,261.57456169728
2013-07-11,1,200.5059375,265.075197627794
2013-07-11,2,217.246875,266.645089992825
2013-07-11,3,214.7609375,220.647926352752
2013-07-11,4,212.6465625,144.996008710964
2013-07-11,5,249.108125,143.048458483461
2013-07-11,6,249.414375,185.059763824817
2013-07-11,7,250.03625,184.96587895229
2013-07-11,8,227.4665625,184.736447358958
2013-07-11,9,218.2971875,184.865707382884
2013-07-11,9.2,222.6090625,184.865707382884
2013-07-15,0.1,230.1753125,265.08779024559
2013-07-15,1,259.18625,266.196313393456
2013-07-15,2,273.8140625,265.533822308095
2013-07-15,3,268.9190625,217.248749386783
2013-07-15,4,252.6228125,126.577674565174
2013-07-15,5,246.5546875,119.712496085987
2013-07-15,6,205.1540625,157.028774990535
2013-07-15,7,181.6996875,156.934843784573
2013-07-15,8,176.6028125,156.70244505535
2013-07-15,9,168.416875,156.833282162245
2013-07-15,9.2,165.0553125,156.833282162245
2013-07-18,0.1,213.8125,277.905066610439
2013-07-18,1,217.1328125,277.934741890414
2013-07-18,2,237.225,266.360852300255
2013-07-18,3,246.3534375,193.949998676148
2013-07-18,4,271.1478125,110.740613119779
2013-07-18,5,244.6309375,100.797407316979
2013-07-18,6,210.3975,136.040776808585
2013-07-18,7,174.7775,135.946212179285
2013-07-18,8,173.940625,135.714097494142
2013-07-18,9,177.895625,135.844835290668
2013-07-18,9.2,179.8434375,135.844835290668
2013-07-22,0.1,176.1378125,269.338566623436
2013-07-22,1,177.6696875,269.019225464411
2013-07-22,2,222.62875,266.584068766692
2013-07-22,3,247.6546875,200.879401371046
2013-07-22,4,263.4928125,87.0841001312394
2013-07-22,5,210.36875,74.1568537109724
2013-07-22,6,170.8615625,108.048135079255
2013-07-22,7,154.4596875,107.951668352377
2013-07-22,8,149.110625,107.724403503372
2013-07-22,9,163.610625,107.852723734091
2013-07-22,9.2,163.610625,107.852723734091
2013-07-25,0.1,202.0384375,270.800741772179
2013-07-25,1,194.8790625,271.584092772325
2013-07-25,2,220.3153125,269.907375805141
2013-07-25,3,238.6615625,179.609010630399
2013-07-25,4,284.22125,68.4587760134389
2013-07-25,5,284.9734375,53.3436671479934
2013-07-25,6,238.9840625,87.1715057555834
2013-07-25,7,193.631875,87.0749318996774
2013-07-25,8,154.3503125,86.8522195049062
2013-07-25,9,150.395,86.9781344749968
2013-07-25,9.2,143.31625,86.9781344749968
2013-07-29,0.1,175.9184375,277.247439396039
2013-07-29,1,192.61375,276.475286458387
2013-07-29,2,210.255,274.799133123637
2013-07-29,3,231.7915625,194.160712585442
2013-07-29,4,266.46375,42.7779475201773
2013-07-29,5,261.1815625,24.4477270526029
2013-07-29,6,218.935,59.905887536974
2013-07-29,7,164.188125,59.8132668890451
2013-07-29,8,142.5715625,59.597961274009
2013-07-29,9,130.970625,59.7196286205645
2013-07-29,9.2,125.859375,59.7196286205645
2013-08-01,0.1,222.853125,290.924790236641
2013-08-01,1,221.7353125,290.819845044261
